openalex_id,cites,pvalue_method,title,doi,adjudication_reason
W3102596410,14,none,What’s hot and what’s not: Making sense of biodiversity ‘hotspots’,10.1111/gcb.15443,"The paper explicitly states variable importance ""was based on node impurity"" (ranger package), with no permutation, SHAP, or conditional importance reported anywhere in the text. The impurity-based ranking is central to a headline conclusion: ""Regional factors...were important predictors of diversity...This suggests that regional- to ecosystem-scale processes chiefly determined assemblage structure...with small-scale habitat characteristics, such as substrate playing an important but subordinate role,"" and ""Chlorophyll, phosphate and differences in dissolved oxygen concentrations ranked the most important gradients associated with anthropogenic pressure"" — directly feeding the paper's conservation-scale argument. The only corroboration offered is partial dependence plots restricted to the top impurity-ranked variables (circular, since PDP selection depends on the same ranking), and the authors themselves caution these ""may not be realistic and lead to misleading results in the case of strongly correlated variables"" — exactly the scenario present here (chlorophyll/phosphate/DO form a correlated eutrophication gradient, and continuous high-cardinality covariates like depth/shear stress compete against categorical substrate variables). A qualitative citation to Somerfield et al. (2009) using an unrelated method (species relatedness) offers weak, non-quantitative support but does not validate the specific importance ranking or magnitudes. No permutation importance, held-out validation of the selected feature set, or conditional importance is reported, so the ranking is not adequately corroborated."
W4403331554,13,none,Environmental predictors impact microbial-based postmortem interval (PMI) estimation models within human decomposition soils,10.1371/journal.pone.0311906,"The paper explicitly states ""Importance reports the decrease in mean square error (MSE) for each feature"" and Fig 5 caption says ""Top 25 model features determined by variance of responses in Ranger"" — this is impurity/variance (MDI-type) importance from the Ranger RF package, not permutation importance. The ranking is central to the Discussion's biological narrative: ""the most important model feature...was the phylum Firmicutes,"" ""EC appeared to be most influential,"" and these rankings are used to build causal/successional claims (the ""Clostridium Effect,"" anaerobic vs. aerobic taxa dynamics, EC as a proxy for ammonium). The feature set spans wildly heterogeneous predictors (35-5195+ taxa of skewed compositional relative-abundance data mixed with continuous environmental measurements), exactly the setting where impurity importance is biased toward high-cardinality/skewed features. No permutation importance, SHAP, PDP/ALE, or conditional importance is reported anywhere in the text (searches for ""permutation,"" ""impurity,"" ""SHAP,"" ""conditional,"" ""cforest"" all return zero hits besides the MSE-decrease description). The only ""validation"" present (S3 Table, train vs. test R²) assesses overall predictive accuracy, not the specific selected/ranked feature set, so it does not meet the adequate-corroboration bar. All three confirmation criteria are met."
W4308970071,12,none,Modeling Physiological Predictors of Running Velocity for Endurance Athletes,10.3390/jcm11226688,"The paper's sole variable-selection/ranking mechanism is XGBoost's built-in feature-importance heat map (Figure 3), a gain/split-based (impurity-analog) measure, not permutation importance or SHAP. The ranking is explicitly central: the Conclusions list ""we found the strongest predictors of running velocity"" as a headline finding, and Section 4.1 builds an extended physiological narrative directly on the ranking magnitudes (""VO2 at RCP and maximal VO2 were the most important parameters...a lower impact of VO2 at AT was noted""; ""[La-] ... more impact from sub-maximal levels ... than maximal values""; ""HR was one of the variables with the lowest impact""). The only validation offered is 10-fold cross-validation, Bland-Altman analysis, and RMSE/MAE of the final regression equations' overall predictive accuracy; this validates the fitted model's fit, not the magnitude or ordering of the XGBoost importance scores themselves, and overall test-set accuracy does not validate a ranking. No permutation importance, SHAP, PDP/ALE, or conditional importance is reported anywhere in the text, so all three confirmation conditions are met."
W4224278670,11,none,The current status and shortcomings of stereotactic radiosurgery,10.1093/noajnl/vdac058,"The paper fits an R `ranger` random forest and reports ""the variables of importance"" in ""arbitrary units (AU)"" (Figure 4) with no mention of permutation, SHAP, PDP/ALE, or conditional importance anywhere in the text (verified by full-text search); combined with the authors' unfamiliarity with importance-bias literature (they cite only Breiman/Ho/Dietterich, not Strobl et al.), this is consistent with the common default of impurity (Gini/variance) importance rather than a bias-corrected measure. The ranking is unambiguously central to the paper's conclusion: ""field size was the most important variable while collimator was the least important variable... field size is the driving force behind failures, and cone collimators are simply correlated with field size,"" which directly drives the clinical recommendation to pay ""particular attention"" to ""smaller field sizes."" Critically, this causal-attribution claim is corroborated only by narrative reasoning and univariate chi-squared tests (a different, confound-blind method not on the approved corroboration list) - there is no stratified/conditional analysis, no permutation importance, no PDP, and no held-out validation of the feature ranking itself to disentangle the acknowledged field-size/collimator correlation. Since field size is the only continuous predictor competing against several categorical predictors (collimator, algorithm, machine, energy, year), this is exactly the scenario where impurity importance mechanically inflates a continuous variable's rank over a correlated categorical one, so the flag stands."
W4390704691,11,none,Toxicity Assessment of Mixed Exposure of Nine Perfluoroalkyl Substances at Concentrations Relevant to Daily Intake,10.3390/toxics12010052,"The paper uses a scikit-learn RandomForestClassifier (n_estimators=1000, max_depth=3) and reports its default ""feature importance"" (i.e., impurity/Gini/MDI) to rank 189 metabolites, stating ""Of the 189 compounds, 114 had a feature importance of zero... The results annotated 5-aminovaleric acid as the most important compound"" and ""5-(Carbamoylamino)pentanoic acid, which had the second highest contribution."" This exact ranking is then used to build a specific mechanistic narrative in the Discussion, tying the top feature to a GABA-receptor/Chrna4 hypothesis (""may be associated with increased gene expression of Chrna4"") — a nontrivial, ranking-dependent interpretive conclusion, so the ranking is central to at least this part of the paper's story. No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the specific top-feature selection was performed; the only quantitative validation offered (90% test-set classification accuracy) validates overall model accuracy, not the identity/order of the selected features, which per the stated criteria does not count as adequate corroboration. All three conditions for CONFIRMED are met."
W4223616136,10,none,Predicting Time to Death After Withdrawal of Life-Sustaining Measures Using Vital Sign Variability: Derivation and Validation,10.1097/cce.0000000000000675,"The paper explicitly ranks RSF features ""based on their importance values,"" citing Ishwaran's high-dimensional RSF variable-selection paper and Nembrini et al.'s ""The revival of the Gini importance?"" as its methodological basis (the latter specifically concerns Gini/impurity importance and its biases), indicating an impurity-type (MDI) measure drove the feature-removal step. This ranking is central to a stated conclusion: ""all clinical features were removed from the combined model"" during optimization, and the Discussion states ""clinical features used in this work added no additional benefit,"" a claim used to justify design choices for future models. The only corroboration offered is that the final combined (post-removal) model achieves AUC 0.78-0.80 on the held-out validation cohort; per the task's own criterion this does not validate the ranking/removal decision itself, since no permutation importance, SHAP, PDP/ALE, conditional importance, or explicit ablation re-adding clinical features was reported. With 71 highly correlated continuous variability metrics competing against six clinically mixed-type (including binary) features, impurity importance's known scale/cardinality and correlation-driven inflation could plausibly have overstated variability importance and understated clinical feature importance, so the flag survives adversarial review."
W4390540183,9,altmann,"Killer whale acoustic patterns respond to prey abundance and environmental variability around the Prince Edward Islands, Southern Ocean",10.1098/rsos.230903,"The paper fits RF classification models and reports a single scaled 'feature importance value' per predictor that is used to rank predictors (""Wind speed was the most important predictor... while sea surface height, chlorophyll-a and sea surface temperature were moderately important""), and this ranking is central to the ecological interpretation (wind noise masking communication space, seasonal coincidence with low wind speed). The only statistical treatment applied is Altmann et al.'s permutation-based p-value test, which yields a significance verdict (asterisks p<0.05 vs NS) but by construction does not re-derive or correct the magnitude/ordering of the underlying importance scores, matching exactly the split the audit describes: significance is robust, ranking/magnitude is not. The paper never explicitly names the base measure as ""Gini"" or ""impurity,"" but the workflow (default randomForest/ranger importance output, a GVIF collinearity check run specifically ""to produce accurate indices of variable importance,"" and citation of Altmann's classic Gini-importance-bias-correction paper) is most consistent with a conventional impurity-type importance being the reported metric. The only corroboration offered is (i) partial-effect plots (figure 6 a-h) showing each predictor's marginal shape, which validates direction/shape but not relative magnitude or rank across predictors, and (ii) overall model AUC/calibration on a held-out test set, which the rubric explicitly excludes as validation of a selected ranking. No permutation importance, SHAP, or conditional importance was computed as an independent check on the ranking, so the magnitude/ranking claims driving the paper's ecological conclusions are not adequately corroborated."
W4281708676,9,none,"Rich cities, poor countryside? Social structure of the poor and poverty risks in urban and rural places in an affluent country",10.1177/02690942221104774,"The paper fits ranger random-forest models and reports a single, unqualified ""variable importance"" measure with no mention of permutation anywhere in the text; the only methodological caveat cited is Strobl and Zeileis (2008) on the known bias of impurity-type importance toward variables with more categories/continuous scale, which the authors address only by recoding continuous variables to categorical (a partial workaround, not a switch to permutation/conditional importance). The text also explicitly narrates the classic MDI interaction-credit artifact: ""sector of occupation... is less important in the analysis covering only characteristics of the social situation, [but] it gains importance in the full model because of its interaction with the variables measuring the opportunity structure."" The magnitude/ranking of this importance is the direct basis for the paper's central claims (""the social situation variables outperform... social groups,"" ""opportunity structure... have lower predictive power"") and the resulting urban/rural policy recommendations. The only validation offered is overall classification-error confusion matrices (Table 2), which check aggregate model accuracy, not the correctness of the specific feature ranking or selection; no permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the ranked feature set is reported anywhere in the manuscript."
W3097529280,9,none,Prediction of Suicide-Related Events by Analyzing Electronic Medical Records from PTSD Patients with Bipolar Disorder,10.3390/brainsci10110784,"The paper explicitly computes importance as ""the decrease in node impurity weighted by the probability of reaching that node"" (classic MDI/Gini-style importance), ranks all 92 features by this magnitude in Table 3, and uses that ranking both to select the ""top 30"" features for the final model and to frame the headline clinical claims (e.g., Age at rank 1 with 0.141, Trazodone rank 5, disease categories 5/3/1/11 as the emphasized comorbidities). The abstract's specific medication claims (""strong indicators for no SREs"" / ""predicted the onset of SREs"") are downstream of this impurity-based selection step, and the paper's own limitations section concedes impurity importance ""can be misleading for high cardinality features and continuous variables (age and ED visits)"" — precisely the two features ranked highest — yet the only mitigation offered is a distribution check for those two continuous variables (Figure 4) plus a chi-square/proportion test (Table 5) computed on outcome groups that are themselves defined by TreeInterpreter contributions from the same impurity-built trees, which is circular rather than independent. The paper explicitly performs held-out accuracy validation of the selected 30-feature subset (Table 4), which per the rubric does not validate the ranking itself, and no permutation importance, SHAP, PDP/ALE, or genuine conditional-importance analysis is reported anywhere in the text. All three CONFIRMED conditions are therefore met: real impurity importance is used, its ranking/selection is central to the stated clinical conclusions and treatment-substitution recommendations, and no adequate corroboration of that ranking is provided."
W4200472447,8,none,"DNA Methylation in INA, NHLH2, and THBS4 Is Associated with Metastatic Disease in Renal Cell Carcinoma",10.3390/cancers14010039,"The paper explicitly computes impurity based importance (mean decrease in Gini and times_a_root via randomForestExplainer, with ranger splitrule = gini) and uses it to declare which specific CpG loci are the ""most important predictors"" (""6 of the 7 (86%) INA, 2 of the 4 (50%) NHLH2, and 2 of the 7 (29%) THBS4""). This ranking directly underwrites a stated translational conclusion in the Discussion: that ""a subset of 10 candidate loci from the total of 18 ... already permits the identification of tissue samples with a metastatic disease state ... with good accuracy,"" framing a minimal biomarker panel. The only validation offered is the 0.73 test-set accuracy of the full 18-locus random forest model; no separate model was fit or tested on just the 10 ""important"" loci, and no permutation importance, SHAP, PDP/ALE, or conditional importance was used to corroborate which loci matter or their rank order. Per the rubric, overall model accuracy on the full feature set does not validate a ranking-based feature subset, so the ranking underlying the 10-of-18 loci claim is uncorroborated and the flag is confirmed."
W4321436530,7,none,Kinome inhibition states and multiomics data enable prediction of cell viability in diverse cancer types,10.1371/journal.pcbi.1010888,"The paper's own code (github.com/gomezlab/kinotype_viability, src/build_ML_models_expression_regression/make_model_pred.Rmd, lines 73 and 102) sets `set_engine(""ranger"", ..., importance = ""impurity"")`, confirming the random forest uses impurity/variance-reduction importance exclusively; the paper text never mentions permutation importance, SHAP, or Gini explicitly but the code settles it. This ranking is central to a headline conclusion: the abstract states they ""identified a set of kinases, several of which are understudied, that are strongly influential,"" and the Results section names CSNK2A2, PIP4K2C, CAMKK2 and DYRK1B as ""influential"" purely on the basis of their position in the top-25 impurity importance plot (Fig 3C) — these four names appear exactly once in the paper with no follow-up. No corroboration method is used: Fig 6's experimental validation tests only overall dose-response prediction accuracy on held-out cell lines/compounds, not the identity or ranking of important features, and there is no permutation importance, SHAP, PDP/ALE, conditional importance, or feature-ablation/knockdown test of the named kinases anywhere in the text or code (grep for ""permutation""/""SHAP"" in the repo returns no relevant hits). All three CONFIRMED criteria are therefore met."
W3168219035,6,none,Biological knowledge-slanted random forest approach for the classification of calcified aortic valve stenosis,10.1186/s13040-021-00269-4,"The paper ranks genes purely from the RF-construction process itself (""we calculated the number of times each gene was selected in the 500 trees"" / ""Frequency of the 20 top genes selected in 500 trees""), i.e. a tree-internal, impurity-driven selection-frequency measure rather than permutation importance or SHAP; at each node the winning split among mtry candidates is the one with the largest impurity decrease, so this count inherits the same super-linear/interaction-charging distortions as classic MDI. This ranking is squarely central to the paper's substantive claims: ATP6V0D2 is declared ""the main gene used to classify the cases,"" a top-20 list is presented as the disease-relevant gene set, and the paper explicitly concludes ""knowledge-slanted RF could be more easily interpreted by users because the prediction can be attributed mainly to associated genes."" The only checks offered are (a) post-hoc univariate ANOVA of expression differences on the already-selected top genes (conditional on selection, not an independent ranking validation) and (b) comparing median RWR-network rank of the two methods' top-20 lists (357.5 vs 564.5), neither of which is permutation importance, SHAP, PDP/ALE, conditional importance, or held-out predictive validation of the selected feature subset; overall model accuracy/AUC (59.3-92.6%) is reported but that validates classification performance, not the gene ranking. Hence all three CONFIRMED criteria are met."
W4397009901,5,none,Using Machine Learning to Evaluate the Value of Genetic Liabilities in the Classification of Hypertension within the UK Biobank,10.3390/jcm13102955,"The paper builds RF models with the ""ranger"" package and derives importance via caret's ""vip"" function without ever mentioning permutation importance, SHAP, PDP/ALE, conditional importance, or any bias correction (no hits for ""permutation,"" ""impurity_corrected,"" ""Strobl,"" ""cforest,"" etc. in the full text) — the standard, unqualified use of ranger+caret varImp defaults to impurity/Gini-based importance, and nothing in the text suggests otherwise. The ranking is unambiguously central to the paper's headline conclusions: the specific claim that ""genetic liability for two lipid traits (TC and LDL) was found to improve the classification of hypertension"" rests entirely on TC/LDL genetic liability landing in the top-10 importance ranking, and the Discussion draws a substantive biological inference from diabetes NOT appearing in that ranking (""did not prioritize diabetes as an important feature... may align with existing inquiries in the literature""). The only corroboration offered is that a model built from the RF-selected top-10 features achieves AUC 0.71 on the held-out test set — but per the stated rubric this is overall model accuracy/AUC on a test set, which explicitly does NOT count as validation of the ranking itself (it doesn't test rank order, feature-level robustness, or whether swapping in excluded features like diabetes would change conclusions). No permutation, SHAP, PDP/ALE, or conditional-importance corroboration exists anywhere in the text, so the flag survives adversarial review."
W4290851618,5,none,Predicting the presence of depressive symptoms in the HIV-HCV co-infected population in Canada using supervised machine learning,10.1186/s12874-022-01700-y,"I read the full text plus the supplementary appendix (Additional file 1, a docx I fetched and parsed). Neither the main text nor Appendix B/C ever mentions ""permutation,"" ""SHAP,"" ""conditional importance,"" or any bias-corrected importance method — they only say ""the RF importance metrics were generated"" via ranger/caret and describe importance generically (""The algorithm also provides importance metrics to provide an idea which variables were the most influential""). Given the complete absence of any permutation/SHAP language (which authors invariably flag explicitly when used, since it costs extra compute and is a deliberate methodological choice), the unqualified ""importance"" here is best read as the default impurity (Gini/variance) importance from ranger — satisfying criterion (1). Criterion (2) is unambiguous: the Discussion and Conclusions treat the top-5 ranked predictors as substantive findings (""The five most important predictors are related to two main themes—i. SES ... and ii. overall health status""), and the Conclusion restates this ranking as a key result. Criterion (3): the only evaluation reported is overall model discrimination (AUC/sensitivity/specificity/calibration) on the held-out test set — which the audit rules explicitly say does NOT validate the ranking itself — plus a regression sub-analysis (R²=0.5) that also does not touch the importance ranking. No permutation importance, SHAP, PDP/ALE, or conditional-importance corroboration of the specific top-5 selection appears anywhere, including the appendix tuning tables (Table S2), which list only B/mtry/D/S hyperparameters with no importance-mode disclosure or validation step. I could not find grounds to refute the flag; all three conditions for CONFIRMED are met."
W4394722945,5,altmann,Machine learning model of the catalytic efficiency and substrate specificity of acyl-ACP thioesterase variants generated from natural and in vitro directed evolution,10.3389/fbioe.2024.1379121,"The paper explicitly computes ""Feature importance scores for each residue position... based on the total decrease in node gini-impurity averaged over the 500 trees"" (ranger package), ranks residues by these scores, and uses that ranking (via incremental feature selection) to select the ""top 22 residue positions."" The central biological conclusion, ""the majority of highest scoring residues (17 out of 22 residues) reside within the N-terminal hot-dog structure,"" and the claim that 5-16 new candidate residues (e.g., I52, L59, A63, L64, V67) govern substrate specificity, depend directly on which specific residues the gini-importance ranking placed at the top. The only statistical treatment applied is the ranger ""importance_pvalues"" (Altmann) permutation-of-response test with FDR correction, which addresses whether an importance score is significantly non-zero, not whether the relative magnitude/ranking among correlated or interacting residue positions is unbiased. The subsequent 10-fold cross-validation only reports overall recall/specificity/MCC of nested cumulative-feature models to find a performance plateau, which is exactly the kind of ""overall model accuracy on a held-out set"" that the rubric says does not validate a ranking (no random-subset baseline or alternative importance/conditional-importance method was used to check whether a different set of 22 residues would perform as well). Only 6 of the 22 selected residues have independent prior experimental (site-directed mutagenesis) confirmation; the other 16, including all novel claims, rest solely on the uncorroborated gini-importance ranking, and the discussion's appeal to structural plausibility (proximity to the hot-dog domain/active site) is a post-hoc narrative fit rather than a formal corroboration method (permutation importance, SHAP, PDP/ALE, or conditional importance)."
W4413304431,5,altmann,Monthly and Diel Acoustic Occurrence of Four Baleen Whale Species in South African Waters,10.1002/ece3.72004,"The abstract's headline conclusion rests directly on RF importance magnitude/ranking (""SSH and SST...were the most important predictors""), and Section 3.5/4.4 build a full most/moderately/least-important tier list for each species purely from the scaled importance percentages in Figure 6b. The Methods (2.6) never specify importance.mode; they cite the classic 'randomForest' package (whose default importance() is Gini/MeanDecreaseGini) fit ""through ranger for speed,"" and pair it only with Altmann et al.'s permutation-of-response significance test — which is the standard corrective device applied to impurity/Gini importance in the ecology literature and, per the task's own framing, only certifies importance != 0, not rank reliability. Figure 6a's ""influence"" curves are PDP-like shape plots shown alongside importance, but the text never uses their amplitude to cross-validate the Gini-based ranking, no permutation (Breiman-type) importance, SHAP, conditional importance, or held-out validation of the selected feature subset is reported, and known bias drivers (chlorophyll-a's skew, hour's 24 categorical levels, evidenced by the GVIF/aGSIF table) are present. So the ranking is central and uncorroborated, and impurity-style importance is the best-supported reading of what was actually computed, though the paper's silence on importance.mode leaves some residual uncertainty on that specific point."
W4389977364,5,none,Whole blood RNA sequencing identifies transcriptional differences between primary sclerosing cholangitis and ulcerative colitis,10.1016/j.jhepr.2023.100988,"The paper explicitly trains random forests with ""average Gini impurity increase"" importance (ranger), then uses ""average Gini impurity decrease"" to weight genes for GSEA (""we used the top 50% cumulated importance genes as input and weighted those by feature importance"") and to name the ""top 10 most important genes"" (Table S19). This importance-weighted GSEA produces a specific headline biological claim not recoverable from the independent DESeq2 differential-expression analysis: for UC vs. CON and UC vs. PSC, ""cytoplasmic translation"" is the only significant enriched term, and ribosomal/mitochondrial genes (COX6B1, MT-RNR2, RPS9) are elevated to top-importance status even though they do not appear among the 74 DEGs found by the Wald test for UC vs. CON (whose top hits are S100A12/S100A9/C19orf59). This ribosomal/translation/mitochondrial signature becomes a substantive Discussion conclusion (""cellular biosynthesis and metabolism are generally upregulated in UC ... some have a high importance in the random forest classification model. This was not observed in PSC""), i.e., a conclusion whose content is driven by the magnitude/ranking of Gini importance rather than by the orthogonal DE test. The only validation offered anywhere in the paper is held-out AUROC of the full classifier (and cross-cohort AUROC replication for the UC-vs-CON model), which validates overall predictive accuracy, not the specific importance ranking or the top-50%-importance gene subset used for the pathway/gene-naming claims; there is no permutation importance, SHAP, conditional importance, or held-out validation of that selected feature set. Hence all three confirmation criteria are met."
W4410563089,5,none,Final weight prediction from body measurements in Kıvırcık lambs using data mining algorithms,10.5194/aab-68-325-2025,"Table 6 reports ""Inc. node"" (IncNodePurity) from R's randomForest package, the classic RSS-decrease impurity importance for regression, an MDI analog known to be biased toward wide-range/high-cardinality and correlated predictors (HW itself spans 6.5 to 68, an outlier range among the measurements, and predictors are highly intercorrelated, e.g., BH-CH r=0.862). The paper states this ranking as a headline conclusion (""Using the RF algorithm, the variables affecting body weight the most were CC, CH, and CD"") and ties it to a practical recommendation for producers selecting predictors/genotypes. No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of this specific selection is performed; the only cross-checks are Pearson correlation and PCA, which are not on the accepted corroboration list and in fact conflict with the fine-grained RF order (HW ranks 4th in RF importance despite having the lowest correlation with SW, r=0.187, contradicting the impurity-based ranking). Since the ranking is genuinely impurity-derived, is central to a stated conclusion, and lacks the required type of corroboration, the flag holds."
W4408188986,4,boruta,Combining Environmental Variables and Machine Learning Methods to Determine the Most Significant Factors Influencing Honey Production,10.3390/insects16030278,"The paper computes 'feature importance' for the best RF model 'using the Ranger package' (Sect. 2.2) and plots it in Fig. 2 ('Feature importance based on Random Forest'), never specifying permutation mode, which in tidymodels/ranger workflows without other qualification is standardly the impurity (Gini/variance) mode. The specific top-3 ranking (T2M_2, PS_2, WS2M_1) is not a throwaway detail: Sect. 3.4 singles them out as 'the most significant predictors,' and the Discussion builds a mechanistic story directly from that order ('elevated temperatures and pressure levels in February may signal the onset of favorable growing conditions... wind patterns in January could impact foraging behavior'), so the ranking is load-bearing for a stated interpretive conclusion, not just the generic set of 18 Boruta-retained features. No adequate corroboration of this ranking exists: Boruta only performs zero/non-zero relevance detection against shadow features (it does not validate magnitude/order), and the only other check (Fig. S1, AUC vs. number of features across full/Boruta/top-6 models) is an overall-accuracy comparison across feature subsets, which the rubric explicitly excludes as ranking validation. A single garbled phrase ('...six most influential variables based on Shafigurepley importance scores (see Figure 2)') appears to be a corrupted reference to 'Shapley importance,' verified present verbatim in the official PMC/MDPI HTML as well, but it is never elaborated in Methods, no SHAP values/table/plot are shown anywhere else, and it is used to cite the same Figure 2 that is explicitly captioned 'based on Random Forest' -- so this reads as a leftover drafting artifact rather than a genuine, described SHAP corroboration. Given the ranking is explicitly invoked in a scientific interpretation and no real corroboration method is reported, the flag holds, with the caveat that the paper's silence on impurity-vs-permutation for the ranger call is inferred from common practice rather than stated outright."
W4410950841,4,none,Spatiotemporal patterns and drivers of soil organic carbon in black soil landscapes of Northeast China,10.1371/journal.pone.0320784,"The paper uses the Liaw-Wiener randomForest R package and reports a single ""importance ranking...presented as percentages"" (Fig 8) with no mention anywhere in the text of ""permutation,"" ""%IncMSE,"" ""mean decrease accuracy,"" SHAP, PDP/ALE, or conditional importance — the complete absence of permutation-specific language, combined with the default behavior of randomForest() (IncNodePurity/impurity importance is computed automatically; %IncMSE requires explicitly setting importance=TRUE and is never referenced), makes it most likely this is impurity-based (IncNodePurity, i.e., Gini/MDI-analog) importance. This ranking is unambiguously central: the paper's headline finding ""Precipitation emerged as the most influential variable affecting SOC"" (based on 39.32% vs 17.83%/16.88%/13.03%) is repeated in Results, Discussion 4.1, and directly underwrites the policy recommendations in section 4.4 (""governments should carefully consider...support sustainable land management""). The only corroboration offered is bivariate Spearman correlation (which happens to reproduce the same rank order but is not on the accepted list of adequate methods — it doesn't test the RF's non-linear/interaction-based ranking or feature-selection validity) and overall test-set R²=0.78 (model accuracy, not ranking validation). No permutation importance, SHAP, PDP/ALE, or conditional importance analysis of the RF's own feature ranking is reported anywhere in the text, so the ranking is not adequately corroborated per the stated bar, and the flag survives adversarial review."
W4405237241,4,none,Variations in Cycling Distances by Trip Purpose and Socio-Demographic Attributes: Implications for Spatial Scales to Assess Environmental Correlates of Cycling,10.3390/ijerph21121648,"The paper explicitly states it used ""an actual impurity reduction importance measure"" from a ranger Random Forest, citing Nembrini et al. 2018 (a paper on bias corrected Gini/impurity importance) - this is genuinely an impurity family measure, not permutation importance or SHAP. The resulting ranking (trip purpose=100%, gender=21%, region=10%, state/employment/age=5% each) is the direct empirical basis for the paper's headline policy conclusion that ""purpose specific buffer sizes need to be employed,"" and for the secondary claim that gender is the ""second most important determinant,"" so magnitude/ranking is unambiguously central, not incidental. The only other statistical analysis present is univariate Wilcoxon/Kruskal Wallis tests (Table 3), but these show ALL six explanatory variables are statistically significant (p less than 0.001 or p=0.007) - they establish that each variable's marginal association is nonzero, not the relative magnitude/ranking among variables, so they cannot corroborate why trip purpose ranks about 5x above gender or why gender ranks about 2x above region. No permutation importance, SHAP, PDP/ALE, conditional importance, or held out validation of the selected feature ranking appears anywhere in the text. One mitigating nuance worth flagging: citing Nembrini et al. 2018 suggests they may have used ranger's bias corrected ""impurity_corrected"" variant rather than naive Gini/MDI, which would reduce (though not eliminate) cardinality driven inflation of the 3 to 4 level trip purpose variable relative to the binary predictors - but this detail is not confirmed in the visible text (only in an unavailable supplement), and even a corrected impurity measure is not among the adequate corroboration methods specified, nor does it address interaction charging or nonlinear effect conflation. On the visible evidence, none of the required corroboration types are present, so the flag stands."
W4387847688,4,none,Characterizing Families of Spectral Similarity Scores and Their Use Cases for Gas Chromatography–Mass Spectrometry Small Molecule Identification,10.3390/metabo13101101,"Section 2.4 explicitly states relative variable importance in the random forest was determined using the Gini Index, and no permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the selected feature ranking is reported anywhere in the paper (the only performance metric given is 100% overall test accuracy, which validates the classifier, not the importance ranking). The ranking is not incidental: the paper explicitly interprets the magnitude ordering (""the computed t-statistics of metrics is definitively the most important... the second-most important factor... is the overlap score"") to conclude that ""the four empirical cluster groups are largely determined by the discriminatory ability of each metric,"" and this ranking is then used to select t-statistic and overlap score as the ""top three most important predictive factors"" characterizing clusters in Table 1, which underpins the paper's core recommendation of which metric clusters/scores to use. Because the predictor set mixes continuous distributional statistics (t-statistic, overlap score, min/median/max) with categorical variables (family, type, bound direction), this is precisely the setting where impurity/Gini importance is known to be biased toward high-cardinality continuous predictors, so the ranking claim is not robust to that known artifact and is not corroborated by any alternative method."
W4408884311,4,none,Modelling microclimatic variability in Andean forests of northern Patagonia,10.1007/s00484-025-02891-x,"The paper fits ranger() random forests and reports ""Relative importance (%)"" per predictor (Fig. 2, Table 2) without ever naming the importance type (impurity/Gini vs. permutation) or citing any bias-correction; feature selection itself was done by recursive elimination on CV R²/RMSE, not by an independent check of the importance ranking, so that RFE step validates which variables enter the model but not the reported magnitudes/order (e.g., TMIN-station ""68.3%"" ranked #1, macroclimate ""ranging from 50 to 80%""). These exact magnitude/ranking numbers are then used directly in the Discussion to declare macroclimate the dominant driver and solar radiation/FAPAR/NDMI as ""key predictors"" — a central substantive conclusion of the paper. No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the selected ranking is reported anywhere in the text, so the ranking is not adequately corroborated. Given the silence on importance type plus heavy reliance on ranger's default workflow across ~9,600 model fits (where impurity importance is the cheap, common default), the more likely reading is that unadjusted impurity/Gini-type importance drives these ranked percentage claims, satisfying all three CONFIRMED criteria."
W4401966767,3,none,Kinome state is predictive of cell viability in pancreatic cancer tumor and cancer-associated fibroblast cell lines,10.7717/peerj.17797,"The paper's text only says variable importance was ""gathered"" (citing the vip package, Greenwell & Boehmke 2020) without naming the importance type, but the publicly linked analysis code (build_klaeger_screen_binary_predictions.Rmd in the paper's own GitHub repo, cited in the manuscript) shows the ranger engine is fit with set_engine(""ranger"", importance = ""impurity"") before calling vip() — this is classic Gini/MDI impurity importance, not permutation or SHAP. That ranking is central to a headline conclusion: the abstract itself states the models ""identify a set of kinases whose behavior in response to perturbation drive the majority of viability responses... including the understudied kinases CSNK2A1/3, CAMKK2, and PIP4K2C,"" and a full Results subsection (""Novel, understudied targets of PDAC are identified"") builds biological narrative around each kinase's rank position (e.g., ""CSNK2A1/3 was identified as highly ranking,"" ""CAMKK2...is a top feature found only in the P0119-T1 CAF""). No permutation importance, SHAP, PDP/ALE, or conditional importance is used to check ranking stability; the only corroboration offered is (a) qualitative face-validity from recovering well-known targets (MAPK, AURK, EGFR) in the same top-30 lists, and (b) the Fig. 5 validation screen, which uses the full-feature model to predict binary viability on held-out compounds and reports overall ROC/PRC accuracy — it never restricts to the top-ranked feature subset or otherwise tests whether the specific rank/identity of CSNK2A1/3, CAMKK2, or PIP4K2C is robust, so per the stated criteria it does not count as validation of the selected feature set. All three CONFIRMED conditions are therefore met."
